City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,saldanha,-33.0117,17.9442,53.67,62,83,7.63,ZA,1692145009
134,shawano,44.7822,-88.609,76.98,41,0,4.61,US,1692145009
135,quiberon,47.4841,-3.1196,62.08,83,84,4.0,FR,1692145009
136,aasiaat,68.7098,-52.8699,36.54,98,96,7.0,GL,1692145009
137,inongo,-1.95,18.2667,67.86,91,79,3.69,CD,1692145009
138,ribeira brava,32.65,-17.0667,76.01,72,8,4.23,PT,1692145009
139,la passe,45.5549,-0.8967,64.98,76,97,7.67,FR,1692145010
140,nasir,15.5894,32.5634,94.1,24,67,12.93,SD,1692145010
141,rio grande,-32.035,-52.0986,59.95,86,21,11.1,BR,1692145010
142,callao,-12.0667,-77.15,72.72,78,100,11.5,PE,1692145010
143,saint-philbert-de-grand-lieu,47.0333,-1.6333,62.82,82,0,6.91,FR,1692145010
144,nacimiento,-37.5,-72.6667,54.77,92,100,9.01,CL,1692145010
145,ancud,-41.8697,-73.8203,47.75,92,26,5.03,CL,1692145011
146,senanga,-16.1167,23.2667,59.74,26,0,6.51,ZM,1692145011
147,calca,-13.3333,-71.95,58.35,76,53,5.91,PE,1692145011
148,agat village,13.3886,144.6585,87.91,77,20,3.0,GU,1692145011
149,isafjordur,66.0755,-23.124,53.33,80,100,6.76,IS,1692145011
150,phibun mangsahan,15.2447,105.2291,80.58,90,96,7.07,TH,1692145011
151,isangel,-19.55,169.2667,77.11,78,75,4.61,VU,1692145011
152,korla,41.7597,86.1469,66.74,54,90,5.26,CN,1692145012
153,amarante do maranhao,-5.5667,-46.7422,77.23,39,48,4.38,BR,1692144931
154,armacao de buzios,-22.7469,-41.8817,71.65,87,84,13.47,BR,1692145012
155,costa rica,-23.4167,-54.65,69.28,66,13,6.11,BR,1692144857
156,tura,25.5198,90.2201,75.69,93,95,3.53,IN,1692145012
157,tazovsky,67.4667,78.7,50.09,76,99,11.61,RU,1692145012
158,el sauzal de rodriguez,31.9,-116.6833,71.42,75,47,7.11,MX,1692145012
159,belyy yar,53.6039,91.3903,49.89,100,0,2.24,RU,1692145013
160,kavaratti,10.5669,72.642,81.19,72,54,4.85,IN,1692145013
161,paciran,-6.8767,112.3761,75.9,79,77,6.35,ID,1692145013
162,fale old settlement,-9.3852,-171.2468,83.3,78,27,18.12,TK,1692145013
163,port mathurin,-19.6833,63.4167,72.81,73,10,22.91,MU,1692145013
164,matoury,4.8483,-52.3317,76.96,100,0,1.14,GF,1692145013
165,whitehorse,60.7161,-135.0538,62.02,72,75,1.99,CA,1692145014
166,san antonio de pale,-1.4014,5.6325,73.53,90,44,12.97,GQ,1692145014
167,ampara,7.2833,81.6667,75.27,74,79,5.3,LK,1692145014
168,arak,34.0917,49.6892,65.53,19,0,4.05,IR,1692145014
169,puerto baquerizo moreno,-0.9,-89.6,74.98,74,34,9.4,EC,1692145014
170,colonia,50.9333,6.95,68.97,88,20,4.61,DE,1692144787
171,al musayyib,32.7833,44.2825,98.96,10,0,7.29,IQ,1692145014
172,rumbek,6.802,29.6912,70.88,95,29,5.28,SS,1692145015
173,akjoujt,19.6969,-14.4164,87.28,53,79,12.01,MR,1692145015
